tier,district_bn,upazila_bn,unit_bn,key1,key2,key3,name_en,score,nsim,roll_voters,registered,union_ward_bn,voters,u35,first_time,muslim,hindu,indigenous,christian,buddhist,unknown,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65p,ward_no,ukey,n_centres,cid,cast,turnout,bnp_share,jamaat_share,ncp_share,iab_share,bnp_coal_share,jam_coal_share,classified,minority_pct,hindu_pct,u35_pct,first_time_pct,roll_ratio,district_en,belt,ok,jam_stood,bnp_stood,seat_winner
union,কক্সবাজার,রামু,ঈদগড়,Cox's Bazar,Ramu,Eidgar,Eidgar,0.691,0.6,13608,13129,ঈদগড়,13608,5243,5635,13129,245,206,0,1,27,1871,3372,3845,2250,1267,1003,,Cox's Bazar||Ramu||Eidgar,4,296,8892.0,67.72793053545585,51.63067926225821,45.42285200179937,0.0,2.4628879892037787,51.63067926225821,45.42285200179937,13581,3.3281790737059125,1.8039908695972313,38.52880658436214,41.40946502057613,1.0364841191255998,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,কক্সবাজার সদর,ভারুয়াখালী,Cox's Bazar,Coxs Bazar Sadar,Bharuakhali,Bharuakhali,0.961,0.957,18494,18021,ভারুয়াখালী,18494,7002,7295,18198,283,6,0,0,7,2196,4806,5241,2995,1923,1333,,Cox's Bazar||Coxs Bazar Sadar||Bharuakhali,7,296,11428.0,63.4149048332501,44.40847042352117,54.66398319915996,0.0,0.5512775638781939,44.40847042352117,54.66398319915996,18487,1.5632606696597608,1.5308054308432952,37.86092786849789,39.44522547853358,1.026247156095666,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,কক্সবাজার সদর,খুরুস্কুল,Cox's Bazar,Coxs Bazar Sadar,Khurushkul,Khurushkul,0.957,0.947,36796,36347,খুরুস্কুল,36796,13838,14583,30249,6146,349,0,4,48,4681,9157,10104,5901,3612,3341,,Cox's Bazar||Coxs Bazar Sadar||Khurushkul,13,296,23642.0,65.04525820562908,57.084848997546736,40.855257592420266,0.0,1.463497166060401,57.084848997546736,40.855257592420266,36748,17.68531620768477,16.724719712637423,37.60734862485053,39.632025220132626,1.0123531515668418,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,কক্সবাজার সদর,ঝিলংজা,Cox's Bazar,Coxs Bazar Sadar,Jhilangja,Jhilangja,0.942,0.941,29806,28104,ঝিলংজা,29806,11759,12369,28747,896,2,0,157,4,3842,7917,7828,5064,2905,2250,,Cox's Bazar||Coxs Bazar Sadar||Jhilangja,8,296,19788.0,70.40990606319386,36.845562967455024,61.84050939963614,0.0,0.78330301192642,36.845562967455024,61.84050939963614,29802,3.540030870411382,3.006509630226159,39.451788230557604,41.49835603569751,1.0605607742670082,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,কক্সবাজার সদর,চৌফলদন্ডী,Cox's Bazar,Coxs Bazar Sadar,Choufaldandi,Choufaldandi,0.83,0.783,23879,23225,চৌফলদন্ডী,23879,9227,9767,21419,809,1360,1,1,289,3053,6174,6512,3974,2496,1670,,Cox's Bazar||Coxs Bazar Sadar||Choufaldandi,8,296,13340.0,57.43810548977395,48.76311844077961,49.16791604197901,0.0,1.431784107946027,48.76311844077961,49.16791604197901,23590,9.2030521407376,3.4294192454429844,38.64064659324092,40.90204782444826,1.0281593110871905,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,কক্সবাজার সদর,"পি,এম, খালী",Cox's Bazar,Coxs Bazar Sadar,Patali Machhuakhali (Pm Khali),Patali Machhuakhali (Pm Khali),0.597,0.471,29838,29147,"পি,এম, খালী",29838,11442,12034,29140,695,0,0,0,3,3945,7497,8031,4807,3071,2487,,Cox's Bazar||Coxs Bazar Sadar||Patali Machhuakhali (Pm Khali),12,296,19606.0,67.26592788280098,52.71345506477609,44.40987452820565,0.0,2.5502397225339184,52.71345506477609,44.40987452820565,29835,2.3294788000670352,2.3294788000670352,38.34707420068369,40.33112138883303,1.0237074141421072,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,মহেশখালী,কুতুবজোম,Cox's Bazar,Maheshkhali,Kutubjom,Kutubjom,0.997,1.0,25861,25568,কুতুবজোম,25861,9780,10534,25851,4,0,0,1,5,3240,6540,7713,4021,2274,2073,,Cox's Bazar||Maheshkhali||Kutubjom,9,295,15012.0,58.71401752190238,73.46789235278445,25.086597388755663,0.0,0.9325872635225153,73.46789235278445,25.086597388755663,25856,0.019337871287128713,0.01547029702970297,37.81756312594254,40.73315030354588,1.0114596370463078,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,মহেশখালী,শাপলাপুর,Cox's Bazar,Maheshkhali,Shaplapur,Shaplapur,0.997,1.0,27526,27211,শাপলাপুর,27526,11364,12017,26882,580,62,0,1,1,4594,6770,7300,4174,2311,2377,,Cox's Bazar||Maheshkhali||Shaplapur,8,295,17322.0,63.65807945316232,52.465073317168915,46.47846668975869,0.0,0.744717700034638,52.465073317168915,46.47846668975869,27525,2.33605812897366,2.1071752951861944,41.284603647460585,43.65690619777665,1.0115762008011466,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,মহেশখালী,ধলঘাটা,Cox's Bazar,Maheshkhali,Dhalghata,Dhalghata,0.954,0.941,11168,11072,ধলঘাটা,11168,3637,3984,11025,143,0,0,0,0,1186,2451,3254,2101,1138,1036,,Cox's Bazar||Maheshkhali||Dhalghata,3,295,5346.0,48.28395953757225,62.62626262626262,34.06285072951739,0.0,3.0677141788252897,62.62626262626262,34.06285072951739,11168,1.2804441260744985,1.2804441260744985,32.56626074498568,35.673352435530084,1.0086705202312138,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,মহেশখালী,ছোট মহেশখালী,Cox's Bazar,Maheshkhali,Chhotoa Maheshkhali,Chhotoa Maheshkhali,0.928,0.909,21837,21537,ছোট মহেশখালী,21837,8501,9044,19105,2433,239,0,2,58,2663,5838,5878,3507,2069,1881,,Cox's Bazar||Maheshkhali||Chhotoa Maheshkhali,8,295,13145.0,61.03449876955936,80.4336249524534,17.390642829973373,0.0,1.209585393685812,80.4336249524534,17.390642829973373,21779,12.277882363744892,11.17131181413288,38.92934011082108,41.41594541374731,1.0139295166457725,Cox's Bazar,False,1,True,True,BNP
