cid,name,winner,winner_pct,turnout,jam,bnp,ncp,median_age,u35,first_time_pct,non_muslim_pct,hindu_pct,stype
168,Manikganj-1,BNP,46.38,64.51,23.6,46.38,0.0,42.0,32.03,33.8,10.24,9.61,rural
169,Manikganj-2,BNP,65.84,56.74,0.0,65.84,0.0,43.0,29.71,31.21,8.45,7.79,rural
170,Manikganj-3,BNP,63.15,66.48,0.0,63.15,0.0,43.0,29.91,31.52,9.46,8.68,rural
171,Munshiganj-1,BNP,54.52,56.66,32.31,54.52,0.0,42.0,32.06,33.73,11.74,10.78,rural
172,Munshiganj-2,BNP,62.01,51.83,0.0,62.01,29.37,41.0,31.73,33.32,7.0,6.79,rural
173,Munshiganj-3,BNP,45.39,54.05,0.0,45.39,0.0,41.0,32.88,34.47,4.04,3.98,rural
174,Dhaka-1,BNP,58.58,54.84,37.01,58.58,0.0,43.0,30.08,31.69,13.95,12.06,rural
175,Dhaka-2,BNP,65.74,59.7,31.72,65.74,0.0,42.0,31.28,32.76,8.43,7.92,rural
176,Dhaka-3,BNP,52.09,52.73,43.36,52.09,0.0,42.0,30.76,32.24,7.46,7.33,rural
177,Dhaka-4,Jamaat,47.44,44.48,47.44,46.23,0.0,42.0,28.69,30.5,3.04,3.0,city
178,Dhaka-5,Jamaat,47.73,47.74,47.73,43.67,0.0,42.0,30.83,32.66,2.76,2.69,city
179,Dhaka-6,BNP,57.72,46.78,40.38,57.72,0.0,45.0,24.66,26.14,13.76,13.24,city
180,Dhaka-7,BNP,46.42,47.09,43.38,46.42,0.0,43.0,26.96,28.62,5.39,5.33,city
181,Dhaka-8,BNP,50.5,42.02,0.0,50.5,46.06,44.0,23.71,25.65,6.21,5.74,city
182,Dhaka-9,BNP,51.39,46.23,0.0,51.39,24.45,43.0,28.59,30.43,4.19,3.73,city
183,Dhaka-10,BNP,48.82,42.36,46.12,48.82,0.0,44.0,25.92,27.74,4.62,4.22,city
184,Dhaka-11,NCP,48.43,43.76,0.0,47.87,48.43,42.0,27.91,30.04,4.66,4.23,city
