cid,name,winner,winner_pct,turnout,jam,bnp,ncp,median_age,u35,first_time_pct,non_muslim_pct,hindu_pct,stype
44,Chapai Nawabganj-2,Jamaat,50.76,72.87,50.76,46.32,0.0,40.0,36.23,38.6,6.0,4.7,rural
45,Chapai Nawabganj-3,Jamaat,59.17,67.91,59.17,40.27,0.0,41.0,35.89,37.72,4.09,3.79,rural
46,Naogaon-1,BNP,48.53,75.7,42.71,48.53,0.0,41.0,34.29,36.47,13.22,10.28,rural
47,Naogaon-2,Jamaat,50.7,74.81,50.7,48.37,0.0,42.0,31.3,33.09,16.4,10.9,rural
48,Naogaon-3,BNP,53.24,71.22,37.87,53.24,0.0,43.0,30.92,32.81,16.49,14.18,rural
49,Naogaon-4,BNP,56.77,70.79,41.14,56.77,0.0,42.0,31.39,33.14,8.9,8.53,rural
50,Naogaon-5,BNP,53.82,66.37,43.29,53.82,0.0,43.0,31.01,32.73,7.82,7.73,rural
51,Naogaon-6,BNP,47.86,66.12,42.47,47.86,0.0,42.0,30.93,32.79,9.54,9.49,rural
52,Rajshahi-1,Jamaat,49.8,73.36,49.8,49.57,0.0,41.0,36.04,37.89,12.09,7.45,rural
53,Rajshahi-2,BNP,55.76,62.52,43.18,55.76,0.0,42.0,32.42,34.19,5.88,5.48,city
54,Rajshahi-3,BNP,55.37,75.35,43.08,55.37,0.0,41.0,34.55,36.36,2.74,2.42,rural
55,Rajshahi-4,Jamaat,50.57,70.95,50.57,48.39,0.0,43.0,31.22,32.95,4.54,4.5,rural
56,Rajshahi-5,BNP,64.68,67.4,30.73,64.68,0.0,42.0,32.12,33.83,4.45,4.12,rural
57,Rajshahi-6,BNP,60.58,68.93,37.6,60.58,0.0,42.0,33.32,35.01,4.5,4.48,rural
58,Natore-1,BNP,38.23,73.15,33.45,38.23,0.0,,,,,,rural
59,Natore-2,BNP,54.52,73.59,43.34,54.52,0.0,42.0,32.34,34.1,7.84,7.48,rural
60,Natore-3,BNP,52.47,69.93,0.0,52.47,8.92,42.0,32.6,34.29,8.42,8.29,rural
61,Natore-4,BNP,54.63,70.29,43.16,54.63,0.0,42.0,32.23,33.89,5.07,3.94,rural
62,Sirajganj-1,BNP,50.93,59.51,47.34,50.93,0.0,41.0,32.91,34.74,2.59,2.58,rural
63,Sirajganj-2,BNP,55.52,68.25,43.12,55.52,0.0,40.0,34.66,36.28,3.9,3.85,rural
64,Sirajganj-3,BNP,59.43,66.12,0.0,59.43,0.0,41.0,33.36,35.27,9.95,9.58,rural
65,Sirajganj-4,BNP,49.49,68.75,49.25,49.49,0.0,41.0,34.2,35.98,3.99,3.97,rural
66,Sirajganj-5,BNP,54.37,58.4,42.62,54.37,0.0,40.0,36.45,38.01,4.32,4.28,rural
67,Sirajganj-6,BNP,60.78,58.2,0.0,60.78,36.51,40.0,34.68,36.39,3.45,3.42,rural
68,Pabna-1,Jamaat,54.84,69.36,54.84,44.25,0.0,41.0,33.3,35.1,2.6,2.57,rural
69,Pabna-2,BNP,71.78,60.49,25.41,71.78,0.0,41.0,34.42,36.17,3.64,3.61,rural
70,Pabna-3,Jamaat,43.85,68.89,43.85,43.15,0.0,41.0,33.11,34.72,4.12,3.7,rural
71,Pabna-4,Jamaat,45.17,69.02,45.17,44.17,0.0,42.0,32.69,34.43,2.48,2.43,rural
72,Pabna-5,BNP,51.91,66.59,46.75,51.91,0.0,42.0,31.57,33.12,2.09,2.07,rural
73,Meherpur-1,Jamaat,53.17,72.87,53.17,45.87,0.0,43.0,30.42,31.86,2.87,2.83,rural
74,Meherpur-2,Jamaat,52.04,67.99,52.04,46.98,0.0,43.0,29.83,31.47,1.35,1.31,rural
75,Kushtia-1,BNP,60.22,68.38,31.04,60.22,0.0,42.0,32.39,34.15,0.64,0.64,rural
76,Kushtia-2,Jamaat,56.05,71.53,56.05,42.26,0.0,42.0,31.89,33.5,2.18,2.16,rural
77,Kushtia-3,Jamaat,57.56,71.84,57.56,40.43,0.0,43.0,31.01,32.56,4.17,4.14,rural
78,Kushtia-4,Jamaat,48.8,71.33,48.8,46.25,0.0,42.0,33.04,34.66,4.85,4.84,rural
79,Chuadanga-1,Jamaat,56.19,73.22,56.19,41.1,0.0,43.0,31.14,32.73,2.72,2.7,rural
80,Chuadanga-2,Jamaat,54.86,76.85,54.86,43.46,0.0,41.0,33.5,35.1,2.2,2.19,rural
81,Jhenaidah-1,BNP,74.83,71.46,24.37,74.83,0.0,43.0,31.97,33.59,10.45,10.43,rural
82,Jhenaidah-2,Jamaat,51.57,74.67,51.57,46.73,0.0,42.0,32.7,34.52,7.13,7.11,rural
83,Jhenaidah-3,Jamaat,53.13,76.58,53.13,45.6,0.0,41.0,33.77,35.7,5.55,5.55,rural
84,Jhenaidah-4,Jamaat,43.22,73.19,43.22,23.16,0.0,43.0,31.72,33.61,16.33,16.3,rural
85,Jessore-1,Jamaat,54.98,69.22,54.98,43.56,0.0,41.0,33.08,34.92,2.3,2.28,rural
86,Jessore-2,Jamaat,53.8,69.07,53.8,43.97,0.0,42.0,32.42,34.43,6.07,6.05,rural
87,Jessore-3,BNP,49.52,66.46,45.75,49.52,0.0,42.0,31.94,33.69,9.01,8.97,rural
88,Jessore-4,Jamaat,54.24,70.98,54.24,40.7,0.0,,,,,,rural
89,Jessore-5,Jamaat,46.99,75.31,46.99,19.58,0.0,42.0,32.35,34.32,17.53,17.51,rural
90,Jessore-6,Jamaat,52.54,76.51,52.54,45.79,0.0,42.0,33.02,34.84,17.28,17.27,rural
91,Magura-1,BNP,63.54,67.91,30.46,63.54,0.0,42.0,33.7,35.27,16.85,16.78,rural
92,Magura-2,BNP,52.26,68.21,40.97,52.26,0.0,41.0,34.94,36.58,17.69,17.59,rural
93,Narail-1,BNP,54.23,62.97,40.41,54.23,0.0,41.0,34.52,36.36,19.46,19.4,rural
94,Narail-2,Jamaat,47.42,63.56,47.42,18.36,0.0,41.0,34.48,36.32,15.57,15.53,rural
95,Bagerhat-1,Jamaat,47.93,65.16,47.93,46.8,0.0,41.0,35.63,37.31,24.21,23.87,rural
96,Bagerhat-2,Jamaat,49.5,70.19,49.5,28.02,0.0,42.0,32.24,33.92,16.74,16.64,rural
97,Bagerhat-3,BNP,53.94,71.4,43.75,53.94,0.0,43.0,31.79,33.44,21.44,21.33,rural
98,Bagerhat-4,Jamaat,51.53,58.88,51.53,43.93,0.0,42.0,33.4,35.22,8.57,8.55,rural
99,Khulna-1,BNP,58.6,67.14,34.27,58.6,0.0,43.0,31.98,33.69,44.43,44.16,rural
100,Khulna-2,Jamaat,49.46,56.3,49.46,46.67,0.0,43.0,30.42,32.22,10.17,10.03,city
101,Khulna-3,BNP,50.69,58.24,43.76,50.69,0.0,42.0,31.41,33.21,7.32,7.19,city
102,Khulna-4,BNP,49.88,65.22,0.0,49.88,0.0,41.0,35.31,37.13,15.15,14.9,rural
103,Khulna-5,BNP,50.05,74.01,48.93,50.05,0.0,43.0,31.9,33.63,28.91,28.84,rural
104,Khulna-6,Jamaat,53.32,66.66,53.32,44.14,0.0,42.0,32.15,34.05,25.88,25.59,rural
105,Satkhira-1,Jamaat,52.33,74.32,52.33,46.23,0.0,,,,,,rural
106,Satkhira-2,Jamaat,68.41,72.75,68.41,29.92,0.0,41.0,33.19,35.16,13.22,13.18,rural
107,Satkhira-3,Jamaat,52.52,69.69,52.52,16.24,0.0,41.0,33.0,35.02,20.16,20.07,rural
108,Satkhira-4,Jamaat,53.77,66.51,53.77,43.18,0.0,41.0,34.4,36.42,19.14,18.8,rural
109,Barguna-1,IAB,49.59,54.42,0.0,48.1,0.0,42.0,32.39,34.02,6.22,6.0,rural
110,Barguna-2,BNP,46.85,57.37,43.49,46.85,0.0,42.0,33.24,34.97,8.9,8.78,rural
111,Patuakhali-1,BNP,58.77,51.07,0.0,58.77,0.0,41.0,34.1,35.86,6.96,6.88,rural
